id;name;science;information;date
1;Human;cutting-edge Total reboot;../fake-data/blob/hipster.txt;2022-03-16
2;Wooden Nebraska;Tennessee world-class;../fake-data/blob/hipster.txt;2022-03-16
3;Islands;Identity online;../fake-data/blob/hipster.txt;2022-03-16
4;solid;orchestrate index Intelligent;../fake-data/blob/hipster.txt;2022-03-16
5;Loan;portal Metal innovate;../fake-data/blob/hipster.txt;2022-03-16
6;Shores;Berkshire Bike;../fake-data/blob/hipster.txt;2022-03-16
7;state Product;migration;../fake-data/blob/hipster.txt;2022-03-16
8;New Krona ADP;holistic Knolls Cambridgeshire;../fake-data/blob/hipster.txt;2022-03-15
9;Rustic copying Fresh;Granite COM;../fake-data/blob/hipster.txt;2022-03-16
10;SDD white;Grocery Buckinghamshire heuristic;../fake-data/blob/hipster.txt;2022-03-15
